srcStateName,srcYear,Number of Domestic Tourist Visits,Number of Foreign Tourist Visits,Percentage share of Domestic Tourist Visits ( % ),Percentage share of Foreign Tourist Visits ( % ),Rank of different States or UTs in Domestic Tourist Visits,Rank of different States or UTs in Foreign Tourist Visits,YearCode,Year
Haryana,2016,7382995,331291,0.46,1.34,21,16,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,2016,42252909,343752,2.62,1.39,9,14,2016,"Calendar Year (Jan - Dec), 2016"
Goa,2016,5650061,680683,0.35,2.75,22,9,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,2016,28460832,2520083,1.76,10.2,15,4,2016,"Calendar Year (Jan - Dec), 2016"
Daman & Diu,2016,826201,5669,0.05,0.02,27,31,2016,"Calendar Year (Jan - Dec), 2016"
Dadra & Nagar Haveli,2016,589074,1891,0.04,0.01,29,34,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016,16534471,9220,1.02,0.04,17,28,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016,28516127,1010531,1.77,4.09,14,8,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016,5160599,12685,0.32,0.05,23,27,2016,"Calendar Year (Jan - Dec), 2016"
Arunachal Pradesh,2016,385875,6598,0.02,0.03,30,30,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,2016,153163354,341764,9.49,1.38,3,15,2016,"Calendar Year (Jan - Dec), 2016"
A&N Island,2016,384552,15466,0.02,0.06,31,26,2016,"Calendar Year (Jan - Dec), 2016"
Andhra Pradesh,2017,165433898,271362,10.01,1.01,4,15,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017,79687645,1574915,4.82,5.86,7,6,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017,34359989,133725,2.08,0.5,12,19,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017,233977619,3556204,14.16,13.23,2,3,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017,398669,69899,0.02,0.26,32,23,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017,85266596,251846,5.16,0.94,6,16,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017,345061140,4860455,20.88,18.08,1,2,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017,1375854,49111,0.08,0.18,26,24,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017,45916573,1609963,2.78,5.99,10,5,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017,40293352,1108635,2.44,4.12,11,7,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017,1531972,131407,0.09,0.49,24,20,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017,14011229,100014,0.85,0.37,19,21,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017,63362,4166,0,0.02,35,32,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017,67772,1155,0,0,34,35,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017,990856,12051,0.06,0.04,27,28,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017,153454,3497,0.01,0.01,33,33,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017,119191539,5078514,7.21,18.89,5,1,2017,"Calendar Year (Jan - Dec), 2017"
Madhya Pradesh,2017,78038522,359119,4.72,1.34,8,14,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017,6620,1027,0,0,36,36,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017,14673520,1091870,0.89,4.06,17,8,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017,179980191,498148,10.89,1.85,3,11,2017,"Calendar Year (Jan - Dec), 2017"
Jammu & Kashmir,2017,14235473,79765,0.86,0.3,18,22,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017,33723185,170987,2.04,0.64,13,18,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017,19130541,470992,1.16,1.75,16,12,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,2017,6050325,193381,0.37,0.72,23,17,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017,48343131,448853,2.93,1.67,9,13,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017,6895234,842220,0.42,3.13,21,10,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017,29114423,2740502,1.76,10.19,15,4,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017,858131,5535,0.05,0.02,28,31,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017,614182,1908,0.04,0.01,29,34,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017,12231935,6655,0.74,0.02,20,30,2017,"Calendar Year (Jan - Dec), 2017"
A&N Island,2017,471919,15313,0.03,0.06,30,27,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017,1425781,31832,0.09,0.12,25,25,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017,32414063,1082705,1.96,4.03,14,9,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017,6052667,21760,0.37,0.08,22,26,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017,444005,7147,0.03,0.03,31,29,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2018,1198340,18114,0.06,0.06,27,27,2018,"Calendar Year (Jan - Dec), 2018"
