srcStateName,srcYear,From Month,To Month,Age group of visitors,Gender,Type of visitors includes domestic or foreign,Number of overnight and day visitors ,YearCode,Year
Arunachal Pradesh,2014-15,Jun-2014,May-2015,> 60,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,> 60,Male,Domestic Overnight Visitors,87,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,> 60,Female,Domestic Overnight Visitors,5,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,> 60,Male,Domestic Day Visitors,251,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,> 60,Female,Domestic Day Visitors,61,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,45-60,Male,Foreign Overnight Visitors,18,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,45-60,Female,Foreign Overnight Visitors,2,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,45-60,Male,Domestic Overnight Visitors,962,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,45-60,Female,Domestic Overnight Visitors,139,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,45-60,Male,Domestic Day Visitors,2921,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,45-60,Female,Domestic Day Visitors,605,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,35-44,Male,Foreign Overnight Visitors,8,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,35-44,Female,Foreign Overnight Visitors,4,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,35-44,Male,Domestic Overnight Visitors,1296,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,35-44,Female,Domestic Overnight Visitors,238,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,35-44,Male,Domestic Day Visitors,3507,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,35-44,Female,Domestic Day Visitors,812,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,25-34,Male,Foreign Overnight Visitors,18,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,25-34,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,25-34,Male,Domestic Overnight Visitors,1617,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,25-34,Female,Domestic Overnight Visitors,274,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,25-34,Male,Domestic Day Visitors,4518,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,25-34,Female,Domestic Day Visitors,914,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,15-24,Male,Foreign Overnight Visitors,2,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,15-24,Female,Foreign Overnight Visitors,2,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,15-24,Male,Domestic Overnight Visitors,631,2014,"Calendar Year (Jan - Dec), 2014"
Nagaland,2014-15,Jun-2014,May-2015,> 60,Male,Domestic Overnight Visitors,106,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,15-24,Female,Domestic Overnight Visitors,88,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,15-24,Male,Domestic Day Visitors,1686,2014,"Calendar Year (Jan - Dec), 2014"
Arunachal Pradesh,2014-15,Jun-2014,May-2015,15-24,Female,Domestic Day Visitors,391,2014,"Calendar Year (Jan - Dec), 2014"
